From	To
Q13423	NNT
Q13427	PPIG
Q13428	TCOF1
Q13435	SF3B2
Q13439	GOLGA4
Q13442	PDAP1
Q13445	TMED1
Q13451	FKBP5
Q13464	ROCK1
Q13469	NFATC2
Q13488	TCIRG1
Q13492	PICALM
Q13496	MTM1
Q13510	ASAH1
Q13523	PRPF4B
Q13526	PIN1
Q13542	EIF4EBP2
Q13547	HDAC1
Q13554	CAMK2B
Q13561	DCTN2
Q13564	NAE1
Q13568	IRF5
Q13573	SNW1
Q13574	DGKZ
Q13576	IQGAP2
Q13596	SNX1
Q13601	KRR1
Q13610	PWP1
Q13614	MTMR2
Q13615	MTMR3
Q13616	CUL1
Q13618	CUL3
Q13619	CUL4A
Q13620	CUL4B
Q13625	TP53BP2
Q13627	DYRK1A
Q13630	GFUS
Q13637	RAB32
Q13643	FHL3
Q13724	MOGS
Q13761	RUNX3
Q13769	THOC5
Q13813	SPTAN1
Q13823	GNL2
Q13825	AUH
Q13838	DDX39B
Q13867	BLMH
Q13868	EXOSC2
Q13884	SNTB1
Q13895	BYSL
Q13905	RAPGEF1
Q13948	CUX1
Q13951	CBFB
Q13952	NFYC
Q13976	PRKG1
Q14005	IL16
Q14008	CKAP5
Q14012	CAMK1
Q14019	COTL1
Q14061	COX17
Q14088	RAB33A
Q14103	HNRNPD
Q14108	SCARB2
Q14112	NID2
Q14116	IL18
Q14118	DAG1
Q14137	BOP1
Q14139	UBE4A
Q14141	SEPTIN6
Q14151	SAFB2
Q14152	EIF3A
Q14157	UBAP2L
Q14161	GIT2
Q14162	SCARF1
Q14165	MLEC
Q14166	TTLL12
Q14197	MRPL58
Q14203	DCTN1
Q14204	DYNC1H1
Q14232	EIF2B1
Q14240	EIF4A2
Q14241	ELOA
Q14242	SELPLG
Q14247	CTTN
Q14257	RCN2
Q14258	TRIM25
Q14289	PTK2B
Q14314	FGL2
Q14318	FKBP8
Q14320	FAM50A
Q14344	GNA13
Q14432	PDE3A
Q14444	CAPRIN1
Q14498	RBM39
Q14554	PDIA5
Q14558	PRPSAP1
Q14562	DHX8
Q14566	MCM6
Q14571	ITPR2
Q14642	INPP5A
Q14643	ITPR1
Q14644	RASA3
Q14653	IRF3
Q14657	LAGE3
Q14669	TRIP12
Q14676	MDC1
Q14677	CLINT1
Q14683	SMC1A
Q14684	RRP1B
Q14690	PDCD11
Q14694	USP10
Q14696	MESD
Q14697	GANAB
Q14699	RFTN1
Q14738	PPP2R5D
Q14739	LBR
Q14746	COG2
Q14761	PTPRCAP
Q14764	MVP
Q14765	STAT4
Q14766	LTBP1
Q14789	GOLGB1
Q14790	CASP8
Q14847	LASP1
Q14966	ZNF638
Q14974	KPNB1
Q14980	NUMA1
Q14997	PSME4
Q14BN4	SLMAP
Q14C86	GAPVD1
Q14CX7	NAA25
Q15007	WTAP
Q15008	PSMD6
Q15018	ABRAXAS2
Q15019	SEPTIN2
Q15020	SART3
Q15021	NCAPD2
Q15027	ACAP1
Q15029	EFTUD2
Q15031	LARS2
Q15036	SNX17
Q15042	RAB3GAP1
Q15046	KARS1
Q15047	SETDB1
Q15050	RRS1
Q15052	ARHGEF6
Q15056	EIF4H
Q15057	ACAP2
Q15059	BRD3
Q15061	WDR43
Q15063	POSTN
Q15067	ACOX1
Q15075	EEA1
Q15080	NCF4
Q15084	PDIA6
Q15102	PAFAH1B3
Q15118	PDK1
Q15120	PDK3
Q15121	PEA15
Q15126	PMVK
Q15149	PLEC
Q15154	PCM1
Q15172	PPP2R5A
Q15181	PPA1
Q15185	PTGES3
Q15208	STK38
Q15233	NONO
Q15257	PTPA
Q15276	RABEP1
Q15286	RAB35
Q15287	RNPS1
Q15291	RBBP5
Q15293	RCN1
Q15306	IRF4
Q15311	RALBP1
Q15334	LLGL1
Q15363	TMED2
Q15365	PCBP1
Q15366	PCBP2
Q15369	ELOC
Q15370	ELOB
Q15382	RHEB
Q15386	UBE3C
Q15388	TOMM20
Q15389	ANGPT1
Q15393	SF3B3
Q15397	PUM3
Q15404	RSU1
Q15418	RPS6KA1
Q15424	SAFB
Q15427	SF3B4
Q15428	SF3A2
Q15434	RBMS2
Q15435	PPP1R7
Q15436	SEC23A
Q15437	SEC23B
Q15459	SF3A1
Q15477	SKIC2
Q15528	MED22
Q15554	TERF2
Q15555	MAPRE2
Q15582	TGFBI
Q15628	TRADD
Q15631	TSN
Q15637	SF1
Q15642	TRIP10
Q15646	OASL
Q15648	MED1
Q15650	TRIP4
Q15669	RHOH
Q15691	MAPRE1
Q15717	ELAVL1
Q15738	NSDHL
Q15746	MYLK
Q15750	TAB1
Q15751	HERC1
Q15762	CD226
Q15771	RAB30
Q15796	SMAD2
Q15797	SMAD1
Q15813	TBCE
Q15814	TBCC
Q15819	UBE2V2
Q15833	STXBP2
Q15836	VAMP3
Q15904	ATP6AP1
Q15906	VPS72
Q15907	RAB11B
Q15942	ZYX
Q16134	ETFDH
Q16186	ADRM1
Q16204	CCDC6
Q16270	IGFBP7
Q16401	PSMD5
Q16512	PKN1
Q16531	DDB1
Q16539	MAPK14
Q16543	CDC37
Q16566	CAMK4
Q16576	RBBP7
Q16584	MAP3K11
Q16594	TAF9
Q16595	FXN
Q16610	ECM1
Q16611	BAK1
Q16621	NFE2
Q16629	SRSF7
Q16630	CPSF6
Q16643	DBN1
Q16644	MAPKAPK3
Q16656	NRF1
Q16658	FSCN1
Q16666	IFI16
Q16698	DECR1
Q16706	MAN2A1
Q16718	NDUFA5
Q16719	KYNU
Q16720	ATP2B3
Q16740	CLPP
Q16762	TST
Q16775	HAGH
Q16777	H2AC20
Q16795	NDUFA9
Q16799	RTN1
Q16822	PCK2
Q16831	UPP1
Q16853	AOC3
Q16864	ATP6V1F
Q16881	TXNRD1
Q16891	IMMT
Q17RC7	EXOC3L4
Q1KMD3	HNRNPUL2
Q27J81	INF2
Q29RF7	PDS5A
Q2KHT3	CLEC16A
Q2M296	MTHFSD
Q2M2I8	AAK1
Q2M385	MPEG1
Q2NL82	TSR1
Q2PPJ7	RALGAPA2
Q2TAA2	IAH1
Q2TAL8	QRICH1
Q2TAY7	SMU1
Q2TB10	ZNF800
Q2TBE0	CWF19L2
Q2YD98	UVSSA
Q30154	HLA-DRB5
Q32MZ4	LRRFIP1
Q32P28	P3H1
Q32P41	TRMT5
Q32Q12	NME1-NME2
Q3B8N2	LGALS9B
Q3KQU3	MAP7D1
Q3LXA3	TKFC
Q3MHD2	LSM12
Q3SXM5	HSDL1
Q3T8J9	GON4L
Q3V6T2	CCDC88A
Q3ZAQ7	VMA21
Q3ZCQ8	TIMM50
Q3ZCW2	LGALSL
Q460N5	PARP14
Q494V2	CFAP100
Q495G5	MMAA
Q49A26	GLYR1
Q4G0F5	VPS26B
Q4G0J3	LARP7
Q4G0N4	NADK2
Q4G148	GXYLT1
Q4G176	ACSF3
Q4KMP7	TBC1D10B
Q4KMQ2	ANO6
Q4KWH8	PLCH1
Q4V328	GRIPAP1
Q4V339	ZNG1F
Q4VC31	MIX23
Q52LJ0	FAM98B
Q53EL6	PDCD4
Q53ET0	CRTC2
Q53F19	NCBP3
Q53FA7	TP53I3
Q53FT3	HIKESHI
Q53FV1	ORMDL2
Q53G44	IFI44L
Q53GL0	PLEKHO1
Q53GQ0	HSD17B12
Q53GS9	USP39
Q53H12	AGK
Q53H82	LACTB2
Q53QZ3	ARHGAP15
Q53T59	HS1BP3
Q562E7	WDR81
Q562R1	ACTBL2
Q567U6	CCDC93
Q56VL3	OCIAD2
Q573B4	LCK
Q5BJD5	TMEM41B
Q5BJF6	ODF2
Q5BJH7	YIF1B
Q5BKZ1	ZNF326
Q5C9Z4	NOM1
Q5EBL4	RILPL1
Q5EBM0	CMPK2
Q5EG05	CARD16
Q5FWF5	ESCO1
Q5GLZ8	HERC4
Q5H9L2	TCEAL5
Q5H9R7	PPP6R3
Q5HY81	UBL4A
Q5HYI8	RABL3
Q5HYJ3	FAM76B
Q5HYK3	COQ5
Q5JQS6	GCSAML
Q5JRA6	MIA3
Q5JRX3	PITRM1
Q5JSH3	WDR44
Q5JSP0	FGD3
Q5JTD0	TJAP1
Q5JTH9	RRP12
Q5JTV8	TOR1AIP1
Q5JTZ9	AARS2
Q5JVF3	PCID2
Q5JVS0	HABP4
Q5JWF2	GNAS
Q5JXI8	FHL1
Q5K651	SAMD9
Q5LJA9	UCHL5
Q5M775	SPECC1
Q5M7Z0	RNFT1
Q5M8T2	SLC35D3
Q5QJE6	DNTTIP2
Q5QPA5	MRPS18A
Q5QPL9	RALY
Q5R372	RABGAP1L
Q5R3I4	TTC38
Q5RKV6	EXOSC6
Q5S007	LRRK2
Q5SNV9	C1orf167
Q5SNW7	MTHFR
Q5SQ64	LY6G6F
Q5SRD1	TIMM23B
Q5SRQ6	CSNK2B
Q5SSJ5	HP1BP3
Q5STX8	AIF1
Q5STZ8	ABCF1
Q5SW79	CEP170
Q5SW96	LDLRAP1
Q5SXM8	DNLZ
Q5SZB4	C9orf50
Q5SZL2	CEP85L
Q5T0F9	CC2D1B
Q5T160	RARS2
Q5T1J5	CHCHD2P9
Q5T200	ZC3H13
Q5T280	SPOUT1
Q5T2S8	ODAD2
Q5T3F8	TMEM63B
Q5T440	IBA57
Q5T447	HECTD3
Q5T4S7	UBR4
Q5T4U5	ACADM
Q5T5C0	STXBP5
Q5T5C7	SARS1
Q5T5H1	ENSA
Q5T5Y3	CAMSAP1
Q5T619	ZNF648
Q5T653	MRPL2
Q5T6V5	QNG1
Q5T8D3	ACBD5
Q5T9B7	AK1
Q5TBA9	FRY
Q5TBB1	RNASEH2B
Q5TC84	OGFRL1
Q5TCU3	TPM2
Q5TCZ1	SH3PXD2A
Q5TDF0	NTPCR
Q5TDH0	DDI2
Q5TEC6	H3-7
Q5TEJ8	THEMIS2
Q5TFE4	NT5DC1
Q5TZA2	CROCC
Q5UE93	PIK3R6
Q5VIR6	VPS53
Q5VSL9	STRIP1
Q5VT06	CEP350
Q5VTL8	PRPF38B
Q5VUA4	ZNF318
Q5VUM1	SDHAF4
Q5VV89	MGST3
Q5VVQ6	YOD1
Q5VW32	BROX
Q5VWC4	PSMD4
Q5VWZ2	LYPLAL1
Q5VX20	PFKFB3
Q5VXU9	SHOC1
Q5VY43	PEAR1
Q5VZK9	CARMIL1
Q5VZM2	RRAGB
Q5VZU9	TPP2
Q5W0V3	FHIP2A
Q5XPI4	RNF123
Q5Y7A7	HLA-DRB1
Q629K1	TRIQK
Q63HQ0	AP1AR
Q63ZY3	KANK2
Q658P3	STEAP3
Q658Y4	FAM91A1
Q66GS9	CEP135
Q66K66	TMEM198
Q66K74	MAP1S
Q68BL7	OLFML2A
Q68DE3	USF3
Q68DK2	ZFYVE26
Q68E01	INTS3
Q68EM7	ARHGAP17
Q69YN2	CWF19L1
Q69YQ0	SPECC1L
Q6B0K9	HBM
Q6BDS2	BLTP3A
Q6DD88	ATL3
Q6DKI1	RPL7L1
Q6F5E8	CARMIL2
Q6FI81	CIAPIN1
Q6GMV3	PTRHD1
Q6IA69	NADSYN1
Q6IAA8	LAMTOR1
Q6IAN0	DHRS7B
Q6IBS0	TWF2
Q6ICG6	KIAA0930
Q6ICL3	TANGO2
Q6IN85	PPP4R3A
Q6JBY9	RCSD1
Q6K0P9	PYHIN1
Q6KC79	NIPBL
Q6L8Q7	PDE12
Q6MZP7	LIN54
Q6NUK1	SLC25A24
Q6NUQ4	TMEM214
Q6NVY1	HIBCH
Q6NXE6	ARMC6
Q6NZI2	CAVIN1
Q6NZY4	ZCCHC8
Q6P158	DHX57
Q6P179	ERAP2
Q6P1J9	CDC73
Q6P1M0	SLC27A4
Q6P1N0	CC2D1A
Q6P2C8	MED27
Q6P2E9	EDC4
Q6P2I3	FAHD2B
Q6P2Q9	PRPF8
Q6P3X3	TTC27
Q6P4A8	PLBD1
Q6P4E1	GOLM2
Q6P587	FAHD1
Q6P589	TNFAIP8L2
Q6P6C2	ALKBH5
Q6P9B9	INTS5
Q6PCB5	RSBN1L
Q6PCE3	PGM2L1
Q6PD62	CTR9
Q6PD74	AAGAB
Q6PEV8	FAM199X
Q6PGP7	SKIC3
Q6PHR2	ULK3
Q6PI48	DARS2
Q6PJF5	RHBDF2
Q6PJI9	WDR59
Q6PJT7	ZC3H14
Q6PJW8	CNST
Q6PK04	CCDC137
Q6PK18	OGFOD3
Q6PKG0	LARP1
Q6PL24	TMED8
Q6QNY0	BLOC1S3
Q6R327	RICTOR
Q6RW13	AGTRAP
Q6SZW1	SARM1
Q6UN15	FIP1L1
Q6UUV7	CRTC3
Q6UW68	TMEM205
Q6UWE0	LRSAM1
Q6UWL2	SUSD1
Q6UWL6	KIRREL2
Q6UWY2	PRSS57
Q6UWZ7	ABRAXAS1
Q6UX04	CWC27
Q6UX71	PLXDC2
Q6UXH1	CRELD2
Q6UXN9	WDR82
Q6VEQ5	WASH2P
Q6VY07	PACS1
Q6WKZ4	RAB11FIP1
Q6XQN6	NAPRT
Q6Y1H2	HACD2
Q6YHK3	CD109
Q6YHU6	THADA
Q6YN16	HSDL2
Q6YP21	KYAT3
Q6ZMI0	PPP1R21
Q6ZMZ3	SYNE3
Q6ZN40	TPM1
Q6ZNB6	NFXL1
Q6ZNJ1	NBEAL2
Q6ZRS2	SRCAP
Q6ZRY4	RBPMS2
Q6ZS81	WDFY4
Q6ZSS7	MFSD6
Q6ZSZ5	ARHGEF18
Q6ZT12	UBR3
Q6ZT21	TMPPE
Q6ZU35	CRACD
Q6ZU80	CEP128
Q6ZUJ8	PIK3AP1
Q6ZUT6	CCDC9B
Q6ZUX7	LHFPL2
Q6ZV29	PNPLA7
Q6ZVF9	GPRIN3
Q6ZVK8	NUDT18
Q6ZVM7	TOM1L2
Q6ZXV5	TMTC3
Q709C8	VPS13C
Q70IA6	MOB2
Q70J99	UNC13D
Q70UQ0	IKBIP
Q712K3	UBE2R2
Q75N03	CBLL1
Q76FK4	NOL8
Q7KZ85	SUPT6H
Q7KZF4	SND1
Q7KZI7	MARK2
Q7L0J3	SV2A
Q7L1Q6	BZW1
Q7L1T6	CYB5R4
Q7L1W4	LRRC8D
Q7L2E3	DHX30
Q7L2H7	EIF3M
Q7L2J0	MEPCE
Q7L4I2	RSRC2
Q7L576	CYFIP1
Q7L5D6	GET4
Q7L5N1	COPS6
Q7L5N7	LPCAT2
Q7L7L0	H2AC25
Q7L7X3	TAOK1
Q7L8J4	SH3BP5L
Q7L9L4	MOB1B
Q7LBC6	KDM3B
Q7LBR1	CHMP1B
Q7LDG7	RASGRP2
Q7LFL8	CXXC5
Q7RTV0	PHF5A
Q7Z2K6	ERMP1
Q7Z2W9	MRPL21
Q7Z2Z2	EFL1
Q7Z3B4	NUP54
Q7Z3C6	ATG9A
Q7Z3K3	POGZ
Q7Z3U7	MON2
Q7Z406	MYH14
Q7Z422	SZRD1
Q7Z434	MAVS
Q7Z460	CLASP1
Q7Z478	DHX29
Q7Z4H3	HDDC2
Q7Z4H8	POGLUT3
Q7Z4Q2	HEATR3
Q7Z4V5	HDGFL2
Q7Z4W1	DCXR
Q7Z591	AKNA
Q7Z5G4	GOLGA7
Q7Z5K2	WAPL
Q7Z5L9	IRF2BP2
Q7Z5P9	MUC19
Q7Z5R6	APBB1IP
Q7Z6A9	BTLA
Q7Z6B0	CCDC91
Q7Z6E9	RBBP6
Q7Z6I6	ARHGAP30
Q7Z6J4	FGD2
Q7Z6Z7	HUWE1
Q7Z7A1	CNTRL
Q7Z7B0	FILIP1
Q7Z7E8	UBE2Q1
Q7Z7F0	KHDC4
Q7Z7F7	MRPL55
Q7Z7H5	TMED4
Q7Z7K6	CENPV
Q7Z7N9	TMEM179B
Q86SZ2	TRAPPC6B
Q86TB9	PATL1
Q86TI0	TBC1D1
Q86TI2	DPP9
Q86TM6	SYVN1
Q86TP1	PRUNE1
Q86TU7	SETD3
Q86TV6	TTC7B
Q86U28	ISCA2
Q86U38	NOP9
Q86U42	PABPN1
Q86U44	METTL3
Q86U86	PBRM1
Q86UD0	SAPCD2
Q86UE4	MTDH
Q86UE8	TLK2
Q86UK7	ZNF598
Q86UP2	KTN1
Q86UT6	NLRX1
Q86UW9	DTX2
Q86UX7	FERMT3
Q86V21	AACS
Q86V88	MDP1
Q86VB7	CD163
Q86VN1	VPS36
Q86VP3	PACS2
Q86VP6	CAND1
Q86VR2	RETREG3
Q86VS8	HOOK3
Q86VU5	COMTD1
Q86VW0	SESTD1
Q86W42	THOC6
Q86W50	METTL16
Q86W56	PARG
Q86WB0	ZC3HC1
Q86WI1	PKHD1L1
Q86WN1	FCHSD1
Q86WR0	CCDC25
Q86WR7	PROSER2
Q86WV1	SKAP1
Q86WV6	STING1
Q86WV7	CCDC43
Q86X19	TMEM17
Q86X29	LSR
Q86X55	CARM1
Q86X76	NIT1
Q86X95	CIR1
Q86XP0	PLA2G4D
Q86XP3	DDX42
Q86XR2	NIBAN3
Q86Y82	STX12
Q86YB7	ECHDC2
Q86YL5	TDRP
Q86YN6	PPARGC1B
Q86YP4	GATAD2A
Q86YS6	RAB43
Q86YS7	C2CD5
Q86YV0	RASAL3
Q86YV5	PRAG1
Q86YV9	HPS6
Q86YW5	TREML1
Q86YZ3	HRNR
Q8IU60	DCP2
Q8IU68	TMC8
Q8IU85	CAMK1D
Q8IUE6	H2AC21
Q8IUF8	RIOX2
Q8IUI8	CRLF3
Q8IUR0	TRAPPC5
Q8IV04	TBC1D10C
Q8IV08	PLD3
Q8IV38	ANKMY2
Q8IV50	LYSMD2
Q8IV53	DENND1C
Q8IV63	VRK3
Q8IVB4	SLC9A9
Q8IVB5	LIX1L
Q8IVM0	CCDC50
Q8IVS8	GLYCTK
Q8IVT5	KSR1
Q8IVW6	ARID3B
Q8IWB7	WDFY1
Q8IWE4	DCUN1D3
Q8IWJ2	GCC2
Q8IWT6	LRRC8A
Q8IWV8	UBR2
Q8IX04	UEVLD
Q8IX12	CCAR1
Q8IX19	MCEMP1
Q8IXB1	DNAJC10
Q8IXI2	RHOT1
Q8IXQ6	PARP9
Q8IXT5	RBM12B
Q8IY17	PNPLA6
Q8IY18	SMC5
Q8IY21	DDX60
Q8IY22	CMIP
Q8IYB5	SMAP1
Q8IYB7	DIS3L2
Q8IYD8	FANCM
Q8IYI6	EXOC8
Q8IYJ3	SYTL1
Q8IYM9	TRIM22
Q8IYQ7	THNSL1
Q8IYS2	KIAA2013
Q8IZ07	ANKRD13A
Q8IZ21	PHACTR4
Q8IZ81	ELMOD2
Q8IZ83	ALDH16A1
Q8IZD2	KMT2E
Q8IZH2	XRN1
Q8IZP0	ABI1
Q8IZQ5	SELENOH
Q8N0X7	SPART
Q8N103	TAGAP
Q8N122	RPTOR
Q8N128	FAM177A1
Q8N131	TMEM123
Q8N138	ORMDL3
Q8N149	LILRA2
Q8N163	CCAR2
Q8N183	NDUFAF2
Q8N1B4	VPS52
Q8N1F7	NUP93
Q8N1G2	CMTR1
Q8N1G4	LRRC47
Q8N1K5	THEMIS
Q8N1Q1	CA13
Q8N201	INTS1
Q8N257	H2BC26
Q8N2G8	GHDC
Q8N2K0	ABHD12
Q8N2U9	SLC66A2
Q8N335	GPD1L
Q8N386	LRRC25
Q8N392	ARHGAP18
Q8N3C0	ASCC3
Q8N3D4	EHBP1L1
Q8N3F0	MTURN
Q8N3U4	STAG2
Q8N3X1	FNBP4
Q8N490	PNKD
Q8N4C6	NIN
Q8N4C8	MINK1
Q8N4L2	PIP4P2
Q8N4Q1	CHCHD4
Q8N4T8	CBR4
Q8N511	TMEM199
Q8N556	AFAP1
Q8N573	OXR1
Q8N584	TTC39C
Q8N5A5	ZGPAT
Q8N5B7	CERS5
Q8N5C8	TAB3
Q8N5G0	SMIM20
Q8N5G2	MACO1
Q8N5H7	SH2D3C
Q8N5J2	MINDY1
Q8N5K1	CISD2
Q8N5M9	JAGN1
Q8N5N7	MRPL50
Q8N5Y2	MSL3
Q8N668	COMMD1
Q8N684	CPSF7
Q8N699	MYCT1
Q8N6H7	ARFGAP2
Q8N6S5	ARL6IP6
Q8N6T3	ARFGAP1
Q8N766	EMC1
Q8N7H5	PAF1
Q8N7M0	DYNLT5
Q8N8A2	ANKRD44
Q8N8R7	ARL14EP
Q8N983	MRPL43
Q8N9N7	LRRC57
Q8N9R8	SCAI
Q8N9T8	KRI1
Q8N9U0	TC2N
Q8NB16	MLKL
Q8NB37	GATD1
Q8NB90	AFG2A
Q8NBF2	NHLRC2
Q8NBI5	SLC43A3
Q8NBJ5	COLGALT1
Q8NBL1	POGLUT1
Q8NBM4	UBAC2
Q8NBM8	PCYOX1L
Q8NBN7	RDH13
Q8NBQ5	HSD17B11
Q8NBR6	MINDY2
Q8NBS9	TXNDC5
Q8NBU5	ATAD1
Q8NBX0	SCCPDH
Q8NC51	SERBP1
Q8NC56	LEMD2
Q8NCC3	PLA2G15
Q8NCE2	MTMR14
Q8NCG7	DAGLB
Q8NCM2	KCNH5
Q8NCN5	PDPR
Q8NCW5	NAXE
Q8ND24	RNF214
Q8ND56	LSM14A
Q8ND71	GIMAP8
Q8NDA8	MROH1
Q8NDB2	BANK1
Q8NDT2	RBM15B
Q8NDX1	PSD4
Q8NE01	CNNM3
Q8NE71	ABCF1
Q8NE86	MCU
Q8NEB9	PIK3C3
Q8NEF9	SRFBP1
Q8NEM7	SUPT20H
Q8NEU8	APPL2
Q8NEZ2	VPS37A
Q8NEZ5	FBXO22
Q8NF37	LPCAT1
Q8NF50	DOCK8
Q8NF91	SYNE1
Q8NFC6	BOD1L1
Q8NFD5	ARID1B
Q8NFF5	FLAD1
Q8NFH3	NUP43
Q8NFH5	NUP35
Q8NFH8	REPS2
Q8NFI3	ENGASE
Q8NFQ8	TOR1AIP2
Q8NFU3	TSTD1
Q8NFV4	ABHD11
Q8NFW8	CMAS
Q8NG06	TRIM58
Q8NGA1	OR1M1
Q8NGK5	OR52M1
Q8NHG7	SVIP
Q8NHH9	ATL2
Q8NHM5	KDM2B
Q8NHP8	PLBD2
Q8NHQ9	DDX55
Q8NHV1	GIMAP7
Q8NHV4	NEDD1
Q8NHZ8	CDC26
Q8NI27	THOC2
Q8NI35	PATJ
Q8TAC1	RFESD
Q8TAD8	SNIP1
Q8TAE8	GADD45GIP1
Q8TAF3	WDR48
Q8TAP9	MPLKIP
Q8TAT6	NPLOC4
Q8TAY7	FAM110D
Q8TB03	CXorf38
Q8TB24	RIN3
Q8TB37	NUBPL
Q8TB40	ABHD4
Q8TBB5	KLHDC4
Q8TBC4	UBA3
Q8TBP5	FAM174A
Q8TBQ9	TMEM167A
Q8TBR5	CIRBP-AS1
Q8TBX8	PIP4K2C
Q8TC07	TBC1D15
Q8TC12	RDH11
Q8TC59	PIWIL2
Q8TCB0	IFI44
Q8TCD5	NT5C
Q8TCF1	ZFAND1
Q8TCJ2	STT3B
Q8TCS8	PNPT1
Q8TCT8	SPPL2A
Q8TCT9	HM13
Q8TCU6	PREX1
Q8TD16	BICD2
Q8TD19	NEK9
Q8TD47	RPS4Y2
Q8TD55	PLEKHO2
Q8TDB6	DTX3L
Q8TDD1	DDX54
Q8TDF6	RASGRP4
Q8TDH9	BLOC1S5
Q8TDS5	OXER1
Q8TDV0	GPR151
Q8TDW0	LRRC8C
Q8TDX7	NEK7
Q8TDY2	RB1CC1
Q8TDZ2	MICAL1
Q8TE49	OTUD7A
Q8TE77	SSH3
Q8TEA8	DTD1
Q8TEB1	DCAF11
Q8TEM1	NUP210
Q8TEQ0	SNX29
Q8TEQ6	GEMIN5
Q8TEW0	PARD3
Q8TEX9	IPO4
Q8TF01	PNISR
Q8TF42	UBASH3B
Q8TF64	GIPC3
Q8WTW3	COG1
Q8WU39	MZB1
Q8WU76	SCFD2
Q8WU79	SMAP2
Q8WU90	ZC3H15
Q8WUA7	TBC1D22A
Q8WUD1	RAB2B
Q8WUD4	CCDC12
Q8WUH2	TGFBRAP1
Q8WUH6	TMEM263
Q8WUM0	NUP133
Q8WUM4	PDCD6IP
Q8WUW1	BRK1
Q8WUX9	CHMP7
Q8WUZ0	BCL7C
Q8WV99	ZFAND2B
Q8WVC6	DCAKD
Q8WVJ2	NUDCD2
Q8WVM7	STAG1
Q8WVM8	SCFD1
Q8WVR3	TRAPPC14
Q8WVT3	TRAPPC12
Q8WVY7	UBLCP1
Q8WW12	PCNP
Q8WWA1	TMEM40
Q8WWC4	MAIP1
Q8WWI5	SLC44A1
Q8WWM7	ATXN2L
Q8WWN8	ARAP3
Q8WWN9	IPCEF1
Q8WWP7	GIMAP1
Q8WWY3	PRPF31
Q8WXA9	SREK1
Q8WXE9	STON2
Q8WXF1	PSPC1
Q8WXF7	ATL1
Q8WXG6	MADD
Q8WXH0	SYNE2
Q8WXI9	GATAD2B
Q8WXX5	DNAJC9
Q8WYP5	AHCTF1
Q8WZ73	RFFL
Q8WZ82	OVCA2
Q8WZA0	LZIC
Q8WZA9	IRGQ
Q92466	DDB2
Q92482	AQP3
Q92499	DDX1
Q92504	SLC39A7
Q92506	HSD17B8
Q92520	FAM3C
Q92522	H1-10
Q92530	PSMF1
Q92538	GBF1
Q92541	RTF1
Q92542	NCSTN
Q92544	TM9SF4
Q92552	MRPS27
Q92556	ELMO1
Q92572	AP3S1
Q92574	TSC1
Q92575	UBXN4
Q92576	PHF3
Q92597	NDRG1
Q92598	HSPH1
Q92599	SEPTIN8
Q92600	CNOT9
Q92604	LPGAT1
Q92608	DOCK2
Q92609	TBC1D5
Q92614	MYO18A
Q92615	LARP4B
Q92616	GCN1
Q92619	ARHGAP45
Q92620	DHX38
Q92621	NUP205
Q92623	TTC9
Q92625	ANKS1A
Q92665	MRPS31
Q92673	SORL1
Q92686	NRGN
Q92688	ANP32B
Q92692	NECTIN2
Q92696	RABGGTA
Q92733	PRCC
Q92734	TFG
Q92747	ARPC1A
Q92769	HDAC2
Q92783	STAM
Q92793	CREBBP
Q92797	SYMPK
Q92804	TAF15
Q92820	GGH
Q92835	INPP5D
Q92844	TANK
Q92854	SEMA4D
Q92878	RAD50
Q92882	OSTF1
Q92890	UFD1
Q92896	GLG1
Q92900	UPF1
Q92905	COPS5
Q92917	GPKOW
Q92918	MAP4K1
Q92922	SMARCC1
Q92925	SMARCD2
Q92930	RAB8B
Q92947	GCDH
Q92954	PRG4
Q92973	TNPO1
Q93008	USP9X
Q93009	USP7
Q93015	NAA80
Q93034	CUL5
Q93050	ATP6V0A1
Q93052	LPP
Q93070	ART4
Q93084	ATP2A3
Q93100	PHKB
Q969E2	SCAMP4
Q969E8	TSR2
Q969F2	NKD2
Q969F9	HPS3
Q969G3	SMARCE1
Q969H8	MYDGF
Q969J3	BORCS5
Q969M7	UBE2F
Q969Q0	RPL36AL
Q969Q5	RAB24
Q969S3	ZNF622
Q969S8	HDAC10
Q969T9	WBP2
Q969U7	PSMG2
Q969V3	NCLN
Q969X0	RILPL2
Q969X1	TMBIM1
Q969Y2	GTPBP3
Q969Z0	TBRG4
Q96A00	PPP1R14A
Q96A26	FAM162A
Q96A33	CCDC47
Q96A65	EXOC4
Q96AC1	FERMT2
Q96AG3	SLC25A46
Q96AG4	LRRC59
Q96AH0	NABP1
Q96AJ9	VTI1A
Q96AP7	ESAM
Q96AQ6	PBXIP1
Q96AT1	KIAA1143
Q96AT9	RPE
Q96AX1	VPS33A
Q96AX2	RAB37
Q96AZ6	ISG20
Q96B49	TOMM6
Q96B97	SH3KBP1
Q96BD5	PHF21A
Q96BH1	RNF25
Q96BJ3	AIDA
Q96BM9	ARL8A
Q96BN8	OTULIN
Q96BQ5	CCDC127
Q96BS2	TESC
Q96BV0	ZNF775
Q96BW1	UPRT
Q96BX8	MOB3A
Q96BY6	DOCK10
Q96BY7	ATG2B
Q96C10	DHX58
Q96C11	FGGY
Q96C19	EFHD2
Q96C23	GALM
Q96C24	SYTL4
